tweet_id,retweet_count,favorite_count
835172783151792128,5307,24596
835152434251116546,2765,20988
834931633769889797,1496,10123
834786237630337024,5117,20255
834574053763584002,2322,12825
834477809192075265,9791,0
834458053273591808,1552,9045
834209720923721728,4340,19289
834167344700198914,3372,14853
834089966724603904,1971,9458
834086379323871233,2045,12264
833863086058651648,2216,12633
833826103416520705,3495,17089
833732339549220864,205,0
833722901757046785,3003,19720
833479644947025920,1895,14039
833124694597443584,4454,19003
832998151111966721,2026,12456
832769181346996225,38,0
832757312314028032,3327,15874
832682457690300417,2670,11163
832645525019123713,485,2745
832636094638288896,2569,14918
832397543355072512,2040,11262
832369877331693569,2929,16106
832273440279240704,2149,10669
832215909146226688,5735,0
832215726631055365,8603,0
832088576586297345,2,59
832040443403784192,8840,0
832032802820481025,4306,16792
831939777352105988,5667,22507
831926988323639298,34,319
831911600680497154,5995,25890
831670449226514432,1690,9801
831650051525054464,1790,6694
831552930092285952,2165,8462
831322785565769729,1447,8763
831315979191906304,1040,6181
831309418084069378,2274,11112
831262627380748289,1895,11186
830956169170665475,1379,7524
830583320585068544,15442,62535
830173239259324417,5255,0
830097400375152640,2705,9181
829878982036299777,4616,0
829861396166877184,1796,11531
829501995190984704,9791,29917
829449946868879360,1863,9895
829449946868879360,1863,9895
829141528400556032,6784,22933
829011960981237760,15134,50331
828801551087042563,3169,0
828770345708580865,5405,24121
828708714936930305,10347,34308
828650029636317184,1242,8962
828409743546925057,1081,6049
828408677031882754,1189,7264
828381636999917570,2064,11874
828376505180889089,995,6988
828372645993398273,2729,11873
828361771580813312,165,2071
828046555563323392,2659,11066
828011680017821696,1998,9782
827933404142436356,4840,18871
827653905312006145,2798,14607
827600520311402496,865,7063
827324948884643840,2812,14965
827324948884643840,2812,14965
827199976799354881,2064,10016
826958653328592898,4616,20317
826848821049180160,9354,34066
826615380357632002,3685,0
826598799820865537,230,4863
826598365270007810,2183,9453
826476773533745153,3895,17386
826240494070030336,2420,12526
826204788643753985,856,4598
826115272272650244,2875,14738
825876512159186944,1738,9918
825829644528148480,2338,12032
825535076884762624,16365,53976
825147591692263424,4184,17274
825120256414846976,1168,0
825026590719483904,1168,5913
824796380199809024,5106,0
824775126675836928,3278,14071
824663926340194305,1649,9944
824325613288833024,9896,11191
824297048279236611,3571,14230
824025158776213504,558,4580
823939628516474880,2541,10050
823719002937630720,10371,0
823699002998870016,2336,13217
823581115634085888,2447,12276
823333489516937216,22,660
823322678127919110,3720,14840
823269594223824897,9239,0
822975315408461824,3200,16379
822872901745569793,39934,124041
822859134160621569,2111,12459
822647212903690241,5958,0
822610361945911296,2736,13971
822489057087389700,5959,17124
822462944365645825,13160,26328
822244816520155136,9239,33118
822163064745328640,4384,0
821886076407029760,2142,10683
821813639212650496,3127,0
821765923262631936,1557,7898
821522889702862852,1632,7574
821421320206483457,5130,0
821407182352777218,3997,11108
821153421864615936,9,236
821149554670182400,1826,8117
821107785811234820,1975,9077
821044531881721856,2126,11958
820837357901512704,6244,0
820749716845686786,9222,29850
820690176645140481,3004,11578
820494788566847489,523,0
820446719150292993,2396,0
820314633777061888,523,3155
820078625395449857,5796,18652
820013781606658049,1082,0
819952236453363712,1082,5017
819924195358416896,4550,12232
819711362133872643,2877,12625
819588359383371776,1869,9162
819347104292290561,1116,6837
819238181065359361,379,2139
819227688460238848,6244,21786
819015337530290176,34551,0
819015331746349057,17804,0
819006400881917954,17804,43052
819004803107983360,34550,82646
818646164899774465,19462,0
818627210458333184,7063,21227
818614493328580609,2355,9301
818588835076603904,5699,0
818536468981415936,2273,10262
818307523543449600,7468,0
818259473185828864,2088,10424
818145370475810820,2370,11621
817908911860748288,741,4605
817827839487737858,25141,48663
817777686764523521,2521,10228
817536400337801217,2730,11131
817502432452313088,3146,0
817423860136083457,13605,31877
817415592588222464,890,5299
817181837579653120,7873,0
817171292965273600,1871,8310
817120970343411712,2414,11552
817056546584727552,1519,8137
816829038950027264,4394,0
816816676327063552,1897,9472
816697700272001025,2059,9247
816450570814898180,7468,28706
816336735214911488,1804,8166
816091915477250048,1991,8482
816062466425819140,944,0
816014286006976512,4886,0
815990720817401858,944,4690
815966073409433600,7873,21135
815745968457060357,3861,0
815736392542261248,2122,9313
815639385530101762,1555,7824
815390420867969024,3573,9811
814986499976527872,1187,7248
814638523311648768,2527,10689
814578408554463233,5464,0
814530161257443328,1742,8214
814153002265309185,8116,27274
813944609378369540,2959,0
813910438903693312,1735,8859
813812741911748608,13040,34626
813800681631023104,1650,7878
813217897535406080,6853,17678
813202720496779264,1707,8775
813187593374461952,4048,18838
813172488309972993,1809,8806
813157409116065792,2067,7373
813142292504645637,2245,8081
813130366689148928,418,4258
813127251579564032,2923,11213
813112105746448384,2572,9800
813096984823349248,3391,10042
813081950185472002,2598,9426
813066809284972545,1830,7545
813051746834595840,6867,19930
812781120811126785,1788,7151
812781120811126785,1788,7151
812709060537683968,1353,6289
812503143955202048,1148,5743
812466873996607488,1802,7574
812372279581671427,3427,12941
811985624773361665,1312,6913
811744202451197953,1479,7167
811647686436880384,682,5325
811627233043480576,2855,12080
811386762094317568,5987,19875
810984652412424192,1333,5054
810896069567610880,1645,8552
810657578271330305,2471,10434
810284430598270976,10502,33322
810254108431155201,3169,13974
809920764300447744,3685,14783
809808892968534016,4583,0
809448704142938112,1371,6615
809220051211603969,5254,18901
809084759137812480,3307,12571
808838249661788160,2868,9653
808733504066486276,2034,7510
808501579447930884,2456,10766
808344865868283904,19462,40226
808134635716833280,5525,0
808106460588765185,2071,8389
808001312164028416,3317,11858
807621403335917568,3392,13865
807106840509214720,51692,111726
807059379405148160,6892,0
807010152071229440,3637,12486
806629075125202948,32402,70658
806620845233815552,5148,0
806576416489959424,1825,4665
806542213899489280,2219,9743
806242860592926720,10891,0
806219024703037440,1134,6138
805958939288408065,5019,0
805932879469572096,1803,7895
805826884734976000,1717,6245
805823200554876929,7483,0
805520635690676224,1552,5479
805487436403003392,2382,8352
805207613751304193,1628,7475
804738756058218496,3603,12998
804475857670639616,1892,5850
804413760345620481,3013,0
804026241225523202,15069,42064
803773340896923648,2591,9569
